Species,North ,South
Autumnal_rustic ,1,0
Black_rustic ,4,0
Chestnut_moth,0,1
Common_marbled_carpet,0,2
Convolvulus_hawk_moth,1,0
Dark_winged_fungus_gnats ,0,1
Garden_dart,1,0
Green_carpet_moth,1,3
Heath_rustic ,1,1
Large_pale_masoner ,1,0
Large_yellow_underwing,1,0
Larval_geometrid,1,0
Mottled_rustic,1,1
Neglected_rustic,0,1
Northern_rustic ,1,0
Pink_barred_sallow_moth,0,1
Small_wainscot,2,3
Square_spot_rustic ,10,12
The_anomalous,1,0
Ant,2,5
Aphid,1,1
Blackfly_larvae,0,2
Caddisfly_case,1,4
Caddisfly_larvae,1,1
Cased_caddisfly_larvae,5,0
Caseless_caddisfly_larvae,4,0
Caterpillar,0,4
Cinnamon_sedge_caddisfly,1,1
Crane_fly,10,18
Damselfly_larvae,0,2
Diving_beetle,0,1
Dor_beetle,0,2
Dragonfly_larvae,2,3
Drinker_moth,0,1
Fly,3,23
Greater Water Boatman,0,2
Ground Beetle,7,0
Harverstman_spider,0,1
Insect,0,19
Leaf_curling_sac_spiders,0,1
Lesser Water Boatman,0,4
Mayfly_larvae,6,4
Money_spider,1,3
Mosquito,1,4
Parasitic_wasps,2,0
Scentless_plant_bugs,1,0
Spider,0,32
Springtail,0,1
Stonefly_larvae,7,9
Thrip,0,1
Tick,6,167
True_bug,7,8
Waterbeetle ,4,1
Waterbeetle_larvae,1,1
White_legged_snake_millipede,0,1
Woodland_ground_beetle,0,1
Worm,7,1
Meles meles,1,0
Ovis aries,2,1
Red Deer,3,3
Red Squirrel ,2,1
Aegithalos caudatus,0,1
Alauda arvensis,3,0
Anthus pratensis,6,9
Aquila chrysaetos,4,2
Certhia familiaris,0,1
Coloeus monedula,16,0
Columba palumbus,16,5
Corvus corax,0,4
Corvus corone,2,0
Cyanistes caeruleus,1,0
Erithacus rubecula,1,1
Falco tinnunculus,1,1
Motacilla alba,1,0
Periparus ater,1,0
Troglodytes troglodytes,0,5
Turdus philomelos,3,1
Turdus spp.,1,0
Unidentified,1,0
Unidentified Eggs,0,3
